CountryName,Region,Under5DeathsPer1000,FertilityRate
Virgin Islands (U.S.),Latin America & Caribbean,,4.893
West Bank and Gaza,Middle East & North Africa,,
"Yemen, Rep.",Middle East & North Africa,421.9,7.963
Zambia,Sub-Saharan Africa,200.7,7.169
Zimbabwe,Sub-Saharan Africa,147.0,7.233
Afghanistan,South Asia,345.8,7.292
Albania,Europe & Central Asia,,6.207
Algeria,Middle East & North Africa,241.4,7.607
American Samoa,East Asia & Pacific,,
Andorra,Europe & Central Asia,,
Angola,Sub-Saharan Africa,,6.872
Antigua and Barbuda,Latin America & Caribbean,74.0,4.547
Argentina,Latin America & Caribbean,,3.106
Armenia,Europe & Central Asia,,4.521
Aruba,Latin America & Caribbean,,4.471
Australia,East Asia & Pacific,23.7,3.442
Austria,Europe & Central Asia,37.9,2.8
Azerbaijan,Europe & Central Asia,,5.961
"Bahamas, The",Latin America & Caribbean,,4.799
Bahrain,Middle East & North Africa,165.8,7.096
Bangladesh,South Asia,250.2,6.865
Barbados,Latin America & Caribbean,73.2,4.269
Belarus,Europe & Central Asia,,2.5
Belgium,Europe & Central Asia,31.1,2.59
Belize,Latin America & Caribbean,,6.46
Benin,Sub-Saharan Africa,299.4,6.457
Bermuda,North America,,3.443
Bhutan,South Asia,,6.692
Bolivia,Latin America & Caribbean,278.1,6.309
Bosnia and Herzegovina,Europe & Central Asia,,3.737
Botswana,Sub-Saharan Africa,156.3,6.571
Brazil,Latin America & Caribbean,160.8,5.995
British Virgin Islands,Latin America & Caribbean,74.3,4.762
Brunei Darussalam,East Asia & Pacific,98.3,6.683
Bulgaria,Europe & Central Asia,44.2,2.24
Burkina Faso,Sub-Saharan Africa,338.3,6.322
Burundi,Sub-Saharan Africa,,7.038
Cabo Verde,Sub-Saharan Africa,177.4,6.953
Cambodia,East Asia & Pacific,,5.996
Cameroon,Sub-Saharan Africa,267.6,5.766
Canada,North America,30.5,3.681
Cayman Islands,Latin America & Caribbean,,
Central African Republic,Sub-Saharan Africa,268.0,5.851
Chad,Sub-Saharan Africa,,6.285
Channel Islands,Europe & Central Asia,,2.459
Chile,Latin America & Caribbean,141.9,4.602
China,East Asia & Pacific,,6.085
Colombia,Latin America & Caribbean,126.2,6.663
Comoros,Sub-Saharan Africa,,6.897
"Congo, Dem. Rep.",Sub-Saharan Africa,,6.132
"Congo, Rep.",Sub-Saharan Africa,179.3,6.099
Costa Rica,Latin America & Caribbean,92.5,6.543
Cote d'Ivoire,Sub-Saharan Africa,302.5,7.75
Croatia,Europe & Central Asia,,2.196
Cuba,Latin America & Caribbean,50.2,4.421
Curacao,Latin America & Caribbean,,4.519
Cyprus,Europe & Central Asia,,3.51
Czechia,Europe & Central Asia,,2.12
Denmark,Europe & Central Asia,23.8,2.55
Djibouti,Middle East & North Africa,,6.836
Dominica,Latin America & Caribbean,114.5,5.21
Dominican Republic,Latin America & Caribbean,144.5,7.404
Ecuador,Latin America & Caribbean,164.7,6.676
"Egypt, Arab Rep.",Middle East & North Africa,297.7,6.755
El Salvador,Latin America & Caribbean,177.1,6.682
Equatorial Guinea,Sub-Saharan Africa,,5.673
Eritrea,Sub-Saharan Africa,,6.496
Estonia,Europe & Central Asia,,1.95
Eswatini,Sub-Saharan Africa,202.1,6.794
Ethiopia,Sub-Saharan Africa,,6.875
Faroe Islands,Europe & Central Asia,,
Fiji,East Asia & Pacific,71.8,6.085
Finland,Europe & Central Asia,23.8,2.68
France,Europe & Central Asia,25.7,2.89
French Polynesia,East Asia & Pacific,,5.889
Gabon,Sub-Saharan Africa,210.0,4.587
"Gambia, The",Sub-Saharan Africa,347.2,6.213
Georgia,Europe & Central Asia,,2.937
Germany,Europe & Central Asia,,2.44
Ghana,Sub-Saharan Africa,204.5,6.947
Gibraltar,Europe & Central Asia,,3.517
Greece,Europe & Central Asia,44.0,2.16
